IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG03624	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03625	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03629	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03631	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03633	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03634	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03636	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03639	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03640	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03642	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03643	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03644	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03645	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03646	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03649	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03650	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03652	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03653	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03660	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03663	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03667	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03668	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03672	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03673	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03679	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03680	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03681	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03682	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03684	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03685	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03686	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03687	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03689	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03690	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03691	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03692	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03693	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03694	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03695	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03696	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03697	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03698	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03699	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03700	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03702	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03703	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03705	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03706	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03708	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03709	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03711	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03713	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03714	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03716	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03717	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03718	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03720	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03721	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03722	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03725	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03727	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03729	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03730	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03731	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03733	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03736	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03738	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03740	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03741	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03742	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03743	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03744	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03745	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03746	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03750	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03752	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03753	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03755	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03756	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03757	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03760	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03761	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03762	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03765	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03767	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03770	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03771	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03772	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03773	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03774	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03775	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03777	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03778	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03779	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03780	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03781	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03782	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03784	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
