IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG02554	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02555	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02557	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02558	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02561	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02562	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02568	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02570	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02571	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02573	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02574	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02577	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02580	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02582	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02583	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02585	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02586	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02588	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02589	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02594	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02595	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02610	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02611	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02613	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02614	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02620	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02621	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02623	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02624	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02628	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02629	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02634	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02635	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02642	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02643	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02645	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02646	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02666	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02667	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02675	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02676	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02678	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02679	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02702	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02703	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02715	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02716	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02721	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02722	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02756	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02757	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02759	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02760	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02762	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02763	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02768	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02769	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02771	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02772	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02798	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02799	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02804	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02805	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02807	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02808	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02810	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02811	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02813	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02814	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02816	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02817	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02819	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02820	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02836	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02837	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02839	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02840	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02851	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02852	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02854	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02855	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02860	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02861	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02869	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02870	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02878	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02879	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02881	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02882	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02884	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02885	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02887	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02888	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02890	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02891	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02895	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02896	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02922	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02923	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02938	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02941	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02943	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02944	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02946	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02947	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02952	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02953	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02964	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02965	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02968	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02970	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02971	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02973	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02974	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02976	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02977	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02979	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02981	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02982	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02983	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03024	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03025	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03027	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03028	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
