IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG00256	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00257	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00258	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00259	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00260	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00261	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00262	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00263	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00264	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00265	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00266	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00267	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00268	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00269	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00271	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00272	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00273	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00274	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00275	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00276	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00277	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00278	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00280	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00281	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00282	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00284	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00285	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00288	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00290	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00304	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00306	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00308	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00309	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00310	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00311	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00313	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00315	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00318	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00319	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00320	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00321	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00323	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00324	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00325	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00326	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00327	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00328	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00329	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00330	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00331	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00332	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00334	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00335	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00336	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00337	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00338	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00339	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00341	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00342	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00343	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00344	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00345	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00346	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00349	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00350	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00351	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00353	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00355	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00356	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00357	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00358	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00360	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00361	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00362	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00364	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00365	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00366	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00367	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00368	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00369	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00371	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00372	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00373	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00375	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00376	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00378	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00379	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00380	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00381	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00382	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00383	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00384	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01334	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01500	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01501	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01503	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01504	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01506	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01507	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01509	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01510	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01512	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01513	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01515	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01516	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01518	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01519	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01521	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01522	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01524	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01525	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
