IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG00690	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00692	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00693	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00698	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00699	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00701	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00704	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00705	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00707	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00708	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00717	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00728	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00729	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00759	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00766	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00844	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00851	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00864	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00867	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00879	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00881	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00956	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00978	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00982	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01028	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01029	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01031	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01046	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01595	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01596	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01597	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01598	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01599	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01600	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01794	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01795	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01796	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01797	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01798	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01799	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01800	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01801	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01802	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01804	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01805	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01806	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01807	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01808	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01809	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01810	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01811	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01812	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01813	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01815	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01816	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01817	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01840	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01841	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01842	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01843	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01844	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01845	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01846	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01847	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01848	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01849	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01850	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01851	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01852	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01853	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01855	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01857	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01858	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01859	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01860	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01861	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01862	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01863	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01864	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01865	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01866	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01867	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01868	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01869	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01870	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01871	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
